"","names","mean","sd","isotype","isotype_mean","isotype_sd","X2.sample.z.score"
"CD86-TotalA","CD86-TotalA",0.046248296,0.149321003,"Mouse-IgG2b-isotype-TotalA",0.010193744,0.06131551,3.573742492
"CD274-TotalA","CD274-TotalA",0.155955603,0.240681906,"Mouse-IgG2b-isotype-TotalA",0.010193744,0.06131551,9.390003304
"CD270-TotalA","CD270-TotalA",0.211348562,0.265762795,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,12.03317435
"CD112-TotalA","CD112-TotalA",0.035076544,0.118278848,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,3.404174318
"CD47-TotalA","CD47-TotalA",2.240617829,0.52885347,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,67.21777387
"CD48-TotalA","CD48-TotalA",2.291544004,0.547586264,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,66.42144336
"CD154-TotalA","CD154-TotalA",0.096214705,0.19416189,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,7.051003858
"CD52-TotalA","CD52-TotalA",0.585227146,0.389066433,"Mouse-IgG2a-isotype-TotalA",0.01400904,0.074338724,23.07341883
"CD3-TotalA","CD3-TotalA",2.021375204,0.564251847,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,56.85092841
"CD8-TotalA","CD8-TotalA",0.120079669,0.209610026,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,8.329265275
"HLA-A-B-C-TotalA","HLA-A-B-C-TotalA",1.963642114,0.592867869,"Mouse-IgG2a-isotype-TotalA",0.01400904,0.074338724,52.20684781
"CD45RA-TotalA","CD45RA-TotalA",0.13775024,0.224888157,"Mouse-IgG2b-isotype-TotalA",0.010193744,0.06131551,8.755594181
"CD123-TotalA","CD123-TotalA",0.029672555,0.115737513,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,2.788024859
"CD7-TotalA","CD7-TotalA",0.708852811,0.635545928,"Mouse-IgG2a-isotype-TotalA",0.01400904,0.074338724,17.37438469
"CD49f-TotalA","CD49f-TotalA",1.194517482,0.844247749,"RatIgG2a-TotalA",0.037869218,0.131094249,21.66096108
"CD194-TotalA","CD194-TotalA",0.526810879,0.367998778,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,22.34505826
"CD4-TotalA","CD4-TotalA",2.062642076,0.596506463,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,54.90466369
"CD44-TotalA","CD44-TotalA",1.651990489,0.557320532,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,46.99572487
"CD25-TotalA","CD25-TotalA",0.194106214,0.281746255,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,10.41321902
"CD45RO-TotalA","CD45RO-TotalA",2.018732559,0.387840766,"Mouse-IgG2a-isotype-TotalA",0.01400904,0.074338724,81.22437262
"CD279-TotalA","CD279-TotalA",0.806780706,0.414692546,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,30.58578077
"TIGIT-TotalA","TIGIT-TotalA",0.191031347,0.278201271,"Mouse-IgG2a-isotype-TotalA",0.01400904,0.074338724,9.835865654
"CD335-TotalA","CD335-TotalA",0.037568938,0.118148378,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,3.714620438
"CD31-TotalA","CD31-TotalA",0.087387063,0.227390287,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,5.474786081
"CD146-TotalA","CD146-TotalA",0.103574262,0.324062694,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,4.682529656
"IgM-TotalA","IgM-TotalA",0.05768134,0.151027922,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,5.015185153
"CD5-TotalA","CD5-TotalA",2.201539557,0.674539515,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,51.87988018
"CD183-TotalA","CD183-TotalA",0.965519697,0.699901066,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,21.8379141
"CD195-TotalA","CD195-TotalA",0.57016096,0.541467552,"Rat-IgG2b-isotype-TotalA",0.002524084,0.028459096,16.75016587
"CD196-TotalA","CD196-TotalA",0.562241271,0.469038978,"Mouse-IgG2b-isotype-TotalA",0.010193744,0.06131551,18.67273722
"CD185-TotalA","CD185-TotalA",0.030620277,0.10769041,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,3.08214095
"HuCD103-TotalA","HuCD103-TotalA",0.090282158,0.276112109,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,4.712148206
"CD69-TotalA","CD69-TotalA",0.066960846,0.237401298,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,3.912573815
"CD62L-TotalA","CD62L-TotalA",0.251784098,0.328130783,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,11.75817181
"CD161-TotalA","CD161-TotalA",0.502018316,0.593473081,"Mouse-IgG1-isotype-TotalA",0.007443929,0.053646893,13.2795522
