,names,mean,sd,isotype,isotype_mean,isotype_sd,X2.sample.z.score
CD86-TotalA,CD86-TotalA,0.042430389,0.140453433,Mouse-IgG2b-isotype-TotalA,0.012617391,0.069380989,4.34806225
CD274-TotalA,CD274-TotalA,0.148066637,0.228420461,Mouse-IgG2b-isotype-TotalA,0.012617391,0.069380989,12.96325098
CD270-TotalA,CD270-TotalA,0.219865994,0.275369491,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,17.24860278
CD155-TotalA,CD155-TotalA,0.022536565,0.09625038,RatIgG2a-TotalA,0.041053022,0.131685981,-2.593634584
CD112-TotalA,CD112-TotalA,0.042320174,0.130752937,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,5.547350219
CD47-TotalA,CD47-TotalA,2.215407665,0.516741208,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,97.05875188
CD48-TotalA,CD48-TotalA,2.221167089,0.553462563,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,90.92042595
CD40-TotalA,CD40-TotalA,0.008235554,0.056697026,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,0.098491895
CD154-TotalA,CD154-TotalA,0.089891044,0.185359458,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,9.691704491
CD52-TotalA,CD52-TotalA,0.564848831,0.373182553,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,33.53665173
CD3-TotalA,CD3-TotalA,1.9808445,0.58329916,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,76.93960306
CD8-TotalA,CD8-TotalA,0.104441751,0.199712924,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,10.65094481
CD56-TotalA,CD56-TotalA,0.016776847,0.086375823,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,1.983412311
CD19-TotalA,CD19-TotalA,0.00496957,0.046565375,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,-0.929392509
CD33-TotalA,CD33-TotalA,0.011916315,0.065559095,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,1.074916123
CD11c-TotalA,CD11c-TotalA,0.020002695,0.086786064,Mouse-IgG2b-isotype-TotalA,0.012617391,0.069380989,1.518617901
HLA-A-B-C-TotalA,HLA-A-B-C-TotalA,1.908043088,0.60644171,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,71.15479897
CD45RA-TotalA,CD45RA-TotalA,0.125648109,0.215499782,Mouse-IgG2b-isotype-TotalA,0.012617391,0.069380989,11.40691942
CD123-TotalA,CD123-TotalA,0.021381865,0.098452712,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,2.734333942
CD7-TotalA,CD7-TotalA,0.724616094,0.62659393,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,25.94364548
CD49f-TotalA,CD49f-TotalA,1.186523288,0.809165614,RatIgG2a-TotalA,0.041053022,0.131685981,31.92311732
CD194-TotalA,CD194-TotalA,0.519693908,0.371741868,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,31.11863031
CD4-TotalA,CD4-TotalA,2.064359867,0.555653695,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,84.14892876
CD44-TotalA,CD44-TotalA,1.638300122,0.542399127,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,68.3289081
CD14-TotalA,CD14-TotalA,0.027193336,0.105577768,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,3.273496301
CD16-TotalA,CD16-TotalA,0.008887095,0.058624809,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,0.28223801
CD25-TotalA,CD25-TotalA,0.169815289,0.256181969,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,14.12091625
CD45RO-TotalA,CD45RO-TotalA,1.999505615,0.387373903,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,115.9095194
CD279-TotalA,CD279-TotalA,0.782089025,0.44000002,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,39.89209176
TIGIT-TotalA,TIGIT-TotalA,0.203621622,0.290824162,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,14.90615065
CD20-TotalA,CD20-TotalA,0.006991872,0.053432839,Mouse-IgG2b-isotype-TotalA,0.012617391,0.069380989,-1.467690379
CD335-TotalA,CD335-TotalA,0.033432256,0.111537107,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,4.694510936
CD31-TotalA,CD31-TotalA,0.079513667,0.20882855,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,7.578713203
Podoplanin-TotalA,Podoplanin-TotalA,0.029126111,0.109926141,RatIgG2a-TotalA,0.041053022,0.131685981,-1.588566297
CD146-TotalA,CD146-TotalA,0.094451878,0.281973249,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,6.884444112
IgM-TotalA,IgM-TotalA,0.056627753,0.150213916,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,6.962857127
CD5-TotalA,CD5-TotalA,2.23308092,0.673510417,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,75.23554887
CD183-TotalA,CD183-TotalA,0.976198396,0.692019979,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,31.86905881
CD195-TotalA,CD195-TotalA,0.52050116,0.51653785,Rat-IgG2b-isotype-TotalA,0.006066118,0.049278004,22.65146362
CD32-TotalA,CD32-TotalA,0.015677167,0.085019208,Mouse-IgG2b-isotype-TotalA,0.012617391,0.069380989,0.637053283
CD196-TotalA,CD196-TotalA,0.551287242,0.471397121,Mouse-IgG2b-isotype-TotalA,0.012617391,0.069380989,25.82957638
CD185-TotalA,CD185-TotalA,0.043068046,0.138103242,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,5.408259831
HuCD103-TotalA,HuCD103-TotalA,0.080380324,0.284999796,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,5.706204799
CD69-TotalA,CD69-TotalA,0.062581877,0.216139983,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,5.603240608
CD62L-TotalA,CD62L-TotalA,0.24500516,0.320653822,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,16.65295702
CD161-TotalA,CD161-TotalA,0.50797005,0.597193714,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,19.05164075
CD152-TotalA,CD152-TotalA,0.065911836,0.187534743,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,6.508857943
CD223-TotalA,CD223-TotalA,0.085393695,0.187102871,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,9.081550999
KLRG1-TotalA,KLRG1-TotalA,0.443441253,0.617118222,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,15.9795441
CD27-TotalA,CD27-TotalA,0.952187705,0.59819443,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,35.91558885
CD107a-TotalA,CD107a-TotalA,0.136381818,0.232610199,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,12.28355581
CD95-TotalA,CD95-TotalA,1.169123146,0.445342055,Rat-IgG2b-isotype-TotalA,0.006066118,0.049278004,59.30618317
CD134-TotalA,CD134-TotalA,0.293717113,0.309040917,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,20.80587278
HLA-DR-TotalA,HLA-DR-TotalA,1.071853822,0.897380934,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,26.97948846
CD1c-TotalA,CD1c-TotalA,0.024321648,0.095279709,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,3.414030674
CD11b-TotalA,CD11b-TotalA,0.015458983,0.076555105,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,1.835198423
CD64-TotalA,CD64-TotalA,0.005978109,0.048316547,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,-0.599497195
CD141-TotalA,CD141-TotalA,0.131682262,0.216187009,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,12.68077633
Hu-CD314-TotalA,Hu-CD314-TotalA,0.03809064,0.135615649,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,4.716208933
CD35-TotalA,CD35-TotalA,0.126287659,0.352270283,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,7.587265732
CD57-Recombinant-TotalA,CD57-Recombinant-TotalA,0.269122263,0.659539015,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,9.018142625
CD272-TotalA,CD272-TotalA,0.097703684,0.18939924,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,10.09872336
CD278-TotalA,CD278-TotalA,0.975052731,0.672015749,ArmenianHamsterIgG-TotalA,0.014837512,0.07503687,32.44395353
CD275-TotalA,CD275-TotalA,0.304613978,0.313314504,Mouse-IgG2b-isotype-TotalA,0.012617391,0.069380989,20.78917306
CD58-TotalA,CD58-TotalA,1.126321608,0.527158533,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,48.2131314
CD39-TotalA,CD39-TotalA,0.241090653,0.375054609,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,14.05624359
CX3CR1-TotalA,CX3CR1-TotalA,0.239592775,0.290108323,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,17.92984226
CD24-TotalA,CD24-TotalA,0.094846554,0.188861461,Mouse-IgG2a-isotype-TotalA,0.009689995,0.061460999,9.796056688
CD21-TotalA,CD21-TotalA,0.011350706,0.066775489,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,0.913690946
CD11a-TotalA,CD11a-TotalA,2.412325145,0.535832755,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,101.9898003
CD79b-TotalA,CD79b-TotalA,0.053788895,0.145226267,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,6.754762763
CD244-TotalA,CD244-TotalA,0.10244405,0.221628208,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,9.461680504
CD169-TotalA,CD169-TotalA,0.021098111,0.090924217,Mouse-IgG1-isotype-TotalA,0.007895565,0.054823179,2.841038813
ITGB7-TotalA,ITGB7-TotalA,0.186546398,0.354588327,RatIgG2a-TotalA,0.041053022,0.131685981,8.788160756
