"","names","mean","sd","isotype","isotype_mean","isotype_sd","X2.sample.z.score"
"CD86-TotalA","CD86-TotalA",0.099440671,0.267389074,"Mouse-IgG2b-isotype-TotalA",0.014752471,0.088635644,15.69940762
"CD274-TotalA","CD274-TotalA",0.140261045,0.221975719,"Mouse-IgG2b-isotype-TotalA",0.014752471,0.088635644,27.42115616
"CD270-TotalA","CD270-TotalA",0.170635869,0.244501785,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,33.87588355
"CD112-TotalA","CD112-TotalA",0.0304238,0.107797316,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,9.705610472
"CD47-TotalA","CD47-TotalA",1.931638834,0.445518033,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,223.6700172
"CD48-TotalA","CD48-TotalA",1.702493869,0.491605865,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,178.8177912
"CD154-TotalA","CD154-TotalA",0.070843493,0.167435304,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,18.62331899
"CD52-TotalA","CD52-TotalA",0.519248098,0.363346863,"Mouse-IgG2a-isotype-TotalA",0.01305876,0.073540019,71.30438633
"CD3-TotalA","CD3-TotalA",1.98008012,0.541220443,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,189.2504795
"CD8-TotalA","CD8-TotalA",0.077795795,0.17701364,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,19.66495738
"CD56-TotalA","CD56-TotalA",0.018744637,0.087085738,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,5.514146711
"CD33-TotalA","CD33-TotalA",0.015535336,0.080054144,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,4.135981875
"HLA-A-B-C-TotalA","HLA-A-B-C-TotalA",1.93150534,0.536851028,"Mouse-IgG2a-isotype-TotalA",0.01305876,0.073540019,184.8849509
"CD45RA-TotalA","CD45RA-TotalA",0.104474956,0.198774666,"Mouse-IgG2b-isotype-TotalA",0.014752471,0.088635644,21.5279644
"CD123-TotalA","CD123-TotalA",0.021633508,0.100248976,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,6.284741125
"CD7-TotalA","CD7-TotalA",0.621290055,0.58128916,"Mouse-IgG2a-isotype-TotalA",0.01305876,0.073540019,54.20896639
"CD49f-TotalA","CD49f-TotalA",0.925553109,0.680126642,"RatIgG2a-TotalA",0.031881163,0.111922157,67.70624344
"CD194-TotalA","CD194-TotalA",0.503567919,0.366895203,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,69.72897572
"CD4-TotalA","CD4-TotalA",2.175596391,0.447543262,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,250.9101218
"CD44-TotalA","CD44-TotalA",1.593170358,0.500769236,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,164.2615314
"CD14-TotalA","CD14-TotalA",0.023749923,0.098449421,"Mouse-IgG2a-isotype-TotalA",0.01305876,0.073540019,4.543316307
"CD16-TotalA","CD16-TotalA",0.015317299,0.077807549,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,4.095985306
"CD25-TotalA","CD25-TotalA",0.149976484,0.269025244,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,27.00534465
"CD45RO-TotalA","CD45RO-TotalA",1.97952971,0.362615941,"Mouse-IgG2a-isotype-TotalA",0.01305876,0.073540019,277.5433527
"CD279-TotalA","CD279-TotalA",0.822719961,0.541867932,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,78.10662171
"TIGIT-TotalA","TIGIT-TotalA",0.400040943,0.456413048,"Mouse-IgG2a-isotype-TotalA",0.01305876,0.073540019,43.71293177
"CD335-TotalA","CD335-TotalA",0.026587989,0.102666355,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,8.373522823
"CD31-TotalA","CD31-TotalA",0.101192161,0.27855045,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,17.16113257
"CD146-TotalA","CD146-TotalA",0.063668239,0.192906184,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,14.51462252
"IgM-TotalA","IgM-TotalA",0.084889116,0.18718512,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,20.58252698
"CD5-TotalA","CD5-TotalA",2.511037148,0.654413354,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,198.9982663
"CD183-TotalA","CD183-TotalA",1.019877222,0.699746504,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,75.28243758
"CD195-TotalA","CD195-TotalA",0.404329974,0.430889718,"Rat-IgG2b-isotype-TotalA",0.004028655,0.039924521,48.30667852
"CD196-TotalA","CD196-TotalA",0.391523447,0.374844761,"Mouse-IgG2b-isotype-TotalA",0.014752471,0.088635644,51.08042076
"CD185-TotalA","CD185-TotalA",0.079198386,0.194076625,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,18.44233249
"HuCD103-TotalA","HuCD103-TotalA",0.047111484,0.177363623,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,11.03170442
"CD69-TotalA","CD69-TotalA",0.033092855,0.122915594,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,9.764394347
"CD62L-TotalA","CD62L-TotalA",0.386487042,0.430384759,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,45.55427408
"CD161-TotalA","CD161-TotalA",0.298199139,0.429744471,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,34.98641612
"CD152-TotalA","CD152-TotalA",0.086633951,0.208545399,"Mouse-IgG2a-isotype-TotalA",0.01305876,0.073540019,17.37490998
"CD223-TotalA","CD223-TotalA",0.176639784,0.294807549,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,29.36976031
"KLRG1-TotalA","KLRG1-TotalA",0.229375707,0.417572053,"Mouse-IgG2a-isotype-TotalA",0.01305876,0.073540019,26.64213374
"CD27-TotalA","CD27-TotalA",1.170640381,0.61881892,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,97.7175771
"CD107a-TotalA","CD107a-TotalA",0.124900242,0.225077914,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,26.3443652
"CD95-TotalA","CD95-TotalA",1.130202249,0.453385573,"Rat-IgG2b-isotype-TotalA",0.004028655,0.039924521,129.2120083
"CD134-TotalA","CD134-TotalA",0.227367219,0.284170785,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,39.56561312
"HLA-DR-TotalA","HLA-DR-TotalA",2.004854413,1.186072391,"Mouse-IgG2a-isotype-TotalA",0.01305876,0.073540019,87.52718454
"CD1c-TotalA","CD1c-TotalA",0.021533892,0.091990401,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,6.648370215
"CD11b-TotalA","CD11b-TotalA",0.013500117,0.074429573,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,3.202939916
"CD141-TotalA","CD141-TotalA",0.098675441,0.194660182,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,23.40447554
"Hu-CD314-TotalA","Hu-CD314-TotalA",0.038922889,0.12458955,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,11.87687099
"CD35-TotalA","CD35-TotalA",0.064313698,0.1909786,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,14.81818388
"CD57-Recombinant-TotalA","CD57-Recombinant-TotalA",0.17245775,0.393109893,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,21.65270505
"CD272-TotalA","CD272-TotalA",0.166132641,0.248161727,"Mouse-IgG2a-isotype-TotalA",0.01305876,0.073540019,30.88381681
"CD278-TotalA","CD278-TotalA",1.565149337,0.868863711,"ArmenianHamsterIgG-TotalA",0.014090807,0.074985075,92.87690877
"CD275-TotalA","CD275-TotalA",0.266058204,0.290828645,"Mouse-IgG2b-isotype-TotalA",0.014752471,0.088635644,43.16390086
"CD58-TotalA","CD58-TotalA",1.10017837,0.46852839,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,120.861841
"CD39-TotalA","CD39-TotalA",0.269850315,0.416997642,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,32.5192319
"CX3CR1-TotalA","CX3CR1-TotalA",0.173690695,0.251112646,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,33.64802763
"CD24-TotalA","CD24-TotalA",0.0610608,0.15484739,"Mouse-IgG2a-isotype-TotalA",0.01305876,0.073540019,14.62288766
"CD11a-TotalA","CD11a-TotalA",2.510872489,0.521223827,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,249.2880772
"CD79b-TotalA","CD79b-TotalA",0.040527821,0.129154402,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,12.12031161
"CD244-TotalA","CD244-TotalA",0.065856258,0.168053722,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,17.09486454
"CD169-TotalA","CD169-TotalA",0.018986168,0.087758382,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,5.604921186
"ITGB7-TotalA","ITGB7-TotalA",0.218777607,0.381007444,"RatIgG2a-TotalA",0.031881163,0.111922157,24.57746396
"CD54-TotalA","CD54-TotalA",0.217246163,0.270285152,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,39.60007865
"CD62P-TotalA","CD62P-TotalA",0.017452094,0.084345622,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,4.975171115
"CD119-TotalA","CD119-TotalA",0.208837697,0.2943537,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,35.0206457
